EHC Red Bull München|MUC|107||183|128|52|36|0|16|||München
Eisbären Berlin|EBB|101||166|128|52|33|0|19|||Berlin
Thomas Sabo Ice Tigers|NIT|100||152|126|52|35|0|17|||Nürnberg
ERC Ingolstadt|ING|79||147|137|52|26|0|26|||Ingolstadt
Adler Mannheim|MAN|78||151|149|52|27|0|25|||Mannheim
Kölner Haie|KEC|77||148|142|52|26|0|26|||Köln
Grizzlys Wolfsburg|GW|76||153|147|52|25|0|27|F||Wolfsburg
Iserlohn Roosters|IEC|76||139|154|52|27|0|25|||Iserlohn
Pinguins Bremerhaven|BHV|75||146|163|52|25|0|27|||Bremerhaven
Schwenninger WW|SWW|74||123|130|52|26|0|26|||Schwenningen
Düsseldorfer EG|DEG|68||133|154|52|21|0|31|||Düsseldorfe
Augsburger Panther|AUG|65||151|158|52|21|0|31|||Augsburg
Straubing Tigers|STR|61||137|177|52|19|0|33|||Straubing
Krefeld Pinguine|KEV|55||138|174|52|17|0|35|||Krefeld
